time, pascal, temperature
       3839159, 13.1515, 23.8642
       3848159, 14.2036, 23.8642
       3858158, 14.2036, 23.8642
       3868158, 14.2036, 23.8642
       3878158, 14.2036, 23.8642
       3888158, 14.2036, 23.8642
       3898158, 14.2036, 23.8642
       3908158, 14.2036, 23.8642
       3918158, 11.0474, 23.8642
       3928158, 13.1515, 23.8642
       3938158, 13.1515, 23.8642
       3948158, 11.0474, 23.8642
       3958158, 13.1515, 23.8642
       3968158, 11.0474, 23.8642
       3978158, 11.0474, 23.8642
       3988158, 13.1515, 23.8642
       3998297, 13.1515, 23.8642
       4008221, 13.1515, 23.8642
       4018159, 14.2036, 23.8642
       4028158, 14.2036, 23.8642
       4038158, 14.2036, 23.8642
       4048158, 14.2036, 23.8642
       4058158, 14.2036, 23.8642
       4068158, 13.1515, 23.8642
       4078158, 14.2036, 23.8642
       4088158, 14.2036, 23.8642
       4098158, 13.1515, 23.8642
       4108158, 13.1515, 23.8642
       4118158, 13.1515, 23.8642
       4128158, 11.0474, 23.8642
       4138158, 11.0474, 23.8642
       4148158, 11.0474, 23.8642
       4158281, 11.0474, 23.8642
       4168217, 11.0474, 23.8642
       4178159, 13.1515, 23.8642
       4188158, 11.0474, 23.8642
       4198158, 11.0474, 23.8642
       4208158, 13.1515, 23.8642
       4218158, 11.0474, 23.8642
       4228158, 14.2036, 23.8642
       4238158, 13.1515, 23.8642
       4248158, 14.2036, 23.8642
       4258158, 14.2036, 23.8642
       4268158, 14.2036, 23.8642
       4278158, 14.2036, 23.8642
       4288158, 13.1515, 23.8642
       4298158, 14.2036, 23.8642
       4308158, 14.2036, 23.8642
       4318289, 13.1515, 23.8642
       4328219, 14.2036, 23.8642
       4338160, 13.1515, 23.8642
       4348158, 13.1515, 23.8642
       4358158, 13.1515, 23.8642
       4368158, 13.1515, 23.8642
       4378158, 13.1515, 23.8642
       4388158, 14.2036, 23.8642
       4398158, 13.1515, 23.8642
       4408158, 13.1515, 23.8642
       4418158, 13.1515, 23.8642
       4428158, 13.1515, 23.8642
       4438158, 14.2036, 23.8642
       4448158, 13.1515, 23.8642
       4458158, 14.2036, 23.8642
       4468158, 13.1515, 23.8642
       4478286, 13.1515, 23.8642
       4488217, 13.1515, 23.8642
       4498159, 14.2036, 23.8642
       4508158, 13.1515, 23.8642
       4518158, 13.1515, 23.8642
