time, pascal, temperature
      15143105,-112.051, 25.3298
      15153105,-112.051, 25.3298
      15163220,-112.051, 25.3298
      15173164,-112.051, 25.3298
      15183106,-112.051, 25.3298
      15193105,-112.051, 25.3298
      15203105,-112.051, 25.3298
      15213105,-112.051, 25.3298
      15223105,-112.051, 25.3298
      15233105, -106.79, 25.3298
      15243105, -106.79, 25.3298
      15253105, -106.79, 25.3298
      15263105, -106.79, 25.3298
      15273105, -106.79, 25.3298
      15283105,-112.051, 25.3298
      15293105, -106.79, 25.3298
      15303105, -106.79, 25.3298
      15313105, -106.79, 25.3298
      15323247, -106.79, 25.3298
      15333162, -106.79, 25.3298
      15343106, -106.79, 25.3298
      15353105, -106.79, 25.3298
      15363105, -106.79, 25.3298
      15373105, -106.79, 25.3298
      15383105, -106.79, 25.3298
      15393105, -106.79, 25.3298
      15403105, -106.79, 25.3298
      15413201, -101.53, 25.3298
      15423279, -106.79, 25.3298
      15433262, -106.79, 25.3298
      15443236, -106.79, 25.3298
      15453214, -106.79, 25.3298
      15463106,-112.051, 25.3298
      15473105,-112.051, 25.3298
      15483260, -106.79, 25.3298
      15493158, -106.79, 25.3298
      15503106,-112.051, 25.3298
      15513105,-112.051, 25.3298
      15523105,-112.051, 25.3298
      15533105, -106.79, 25.3298
      15543105,-112.051, 25.3298
      15553105,-112.051, 25.3298
      15563105,-112.051, 25.3298
      15573105,-112.051, 25.3298
      15583105,-112.051, 25.3298
      15593105,-112.051, 25.3298
      15603105,-112.051, 25.3298
      15613105,-112.051, 25.3298
      15623105,-112.051, 25.3298
      15633105,-112.051, 25.3298
      15643225,-112.051, 25.3298
      15653167,-112.051, 25.3298
      15663106, -106.79, 25.3298
      15673105,-112.051, 25.3298
      15683105,-112.051, 25.3298
      15693105,-112.051, 25.3298
      15703105,-112.051, 25.3298
      15713105,-112.051, 25.3298
      15723105,-112.051, 25.3298
      15733105,-112.051, 25.3298
      15743105, -106.79, 25.3298
      15753105, -106.79, 25.3298
      15763105, -106.79, 25.3298
      15773105, -106.79, 25.3298
      15783105, -106.79, 25.3298
      15793105,-112.051, 25.3298
      15803239, -106.79, 25.3298
      15813164, -106.79, 25.3298
      15823106, -106.79, 25.3298
      15833105, -106.79, 25.3298
      15843105, -106.79, 25.3298
      15853105, -101.53, 25.3298
      15863105, -106.79, 25.3298
      15873105, -106.79, 25.3298
      15883105, -106.79, 25.3298
      15893105, -106.79, 25.3298
      15903105, -106.79, 25.3298
      15913105, -106.79, 25.3298
      15923105, -106.79, 25.3298
      15933105, -106.79, 25.3298
